ENSEMBL,P-VALUE(DOWN),Q-VALUE(DOWN),RP-VALUES(DOWN),P-VALUES(UP),Q VALUES(UP),RP-VALUES(UP),MEAN,STD.DEV
ENSG00000035403,0.49999002,0.99996006,Infinity,0,0,62.560303,10.614534,1.5052391
ENSG00000068796,0.49999002,0.99996006,Infinity,0,0,45.836082,11.0458355,1.3051426
ENSG00000075624,0.49999002,0.99996006,Infinity,0,0,7.671403,13.241087,0.7805592
ENSG00000087086,0.49999002,0.99996006,Infinity,0,0,67.4336,10.469717,0.6270594
ENSG00000087460,0.49999002,0.99996006,Infinity,0,0,61.521564,10.609836,1.0904305
ENSG00000100345,0.49999002,0.99996006,Infinity,0,0,23.54275,11.794511,1.048162
ENSG00000101162,0.49999002,0.99996006,Infinity,0,0,29.149294,11.608299,1.525477
ENSG00000101608,0.49999002,0.99996006,Infinity,0,0,41.623993,11.180765,1.2031238
ENSG00000104765,0.49999002,0.99996006,Infinity,0,0,51.67386,10.815689,1.0442666
ENSG00000108298,0.49999002,0.99996006,Infinity,0,0,70.06047,10.406849,0.8159092
ENSG00000124491,0.49999002,0.99996006,Infinity,0,0,37.56687,11.287928,1.3961978
ENSG00000133112,0.49999002,0.99996006,Infinity,0,0,56.62037,10.677881,0.573046
ENSG00000137076,0.49999002,0.99996006,Infinity,0,0,32.459164,11.393044,1.3973697
ENSG00000142541,0.49999002,0.99996006,Infinity,0,0,61.145256,10.550621,0.80198777
ENSG00000142669,0.49999002,0.99996006,Infinity,0,0,65.300125,10.551275,1.0638367
ENSG00000145335,0.49999002,0.99996006,Infinity,0,0,66.96662,10.522702,1.0294498
ENSG00000150681,0.49999002,0.99996006,Infinity,0,0,55.58463,10.829041,1.4736843
ENSG00000152601,0.49999002,0.99996006,Infinity,0,0,66.13801,10.312742,2.9075508
ENSG00000154146,0.49999002,0.99996006,Infinity,0,0,22.853674,11.892686,2.3625562
ENSG00000156265,0.49999002,0.99996006,Infinity,0,0,62.627422,10.651758,1.6413779
ENSG00000158710,0.49999002,0.99996006,Infinity,0,0,57.507645,10.506537,2.740003
ENSG00000163736,0.49999002,0.99996006,Infinity,0,0,24.187157,11.955886,1.6186587
ENSG00000163737,0.49999002,0.99996006,Infinity,0,0,31.571373,11.566748,1.1154906
ENSG00000164924,0.49999002,0.99996006,Infinity,0,0,62.441353,10.400545,3.0223658
ENSG00000166710,0.49999002,0.99996006,Infinity,0,0,20.621908,11.897427,3.1436558
ENSG00000167460,0.49999002,0.99996006,Infinity,0,0,68.31496,10.236093,3.0498936
ENSG00000167996,0.49999002,0.99996006,Infinity,0,0,16.900866,12.369827,1.2202609
ENSG00000168497,0.49999002,0.99996006,Infinity,0,0,30.508934,11.520478,2.3929663
ENSG00000187109,0.49999002,0.99996006,Infinity,0,0,42.802433,10.928149,3.2773857
ENSG00000187514,0.49999002,0.99996006,Infinity,0,0,37.735588,11.108645,3.2562392
ENSG00000196924,0.49999002,0.99996006,Infinity,0,0,53.28789,10.524468,3.2098498
ENSG00000198695,0.49999002,0.99996006,Infinity,0,0,64.826645,10.384779,3.2259662
ENSG00000198712,0.49999002,0.99996006,Infinity,0,0,29.581715,11.497455,3.2088282
ENSG00000198727,0.49999002,0.99996006,Infinity,0,0,15.655469,12.533952,1.563626
ENSG00000198763,0.49999002,0.99996006,Infinity,0,0,8.192141,13.023649,3.1905518
ENSG00000198786,0.49999002,0.99996006,Infinity,0,0,9.218766,13.128512,1.5015982
ENSG00000198804,0.49999002,0.99996006,Infinity,0,0,16.102936,12.362132,2.6376476
ENSG00000198886,0.49999002,0.99996006,Infinity,0,0,7.389027,13.270264,2.292249
ENSG00000198888,0.49999002,0.99996006,Infinity,0,0,4.260791,13.713387,1.8881164
ENSG00000198899,0.49999002,0.99996006,Infinity,0,0,13.877954,12.675003,1.4013658
ENSG00000198938,0.49999002,0.99996006,Infinity,0,0,33.63843,11.493917,2.2891996
ENSG00000205542,0.49999002,0.99996006,Infinity,0,0,13.976068,12.271435,3.4275296
ENSG00000210082,0.49999002,0.99996006,Infinity,0,0,1.6344188,15.203216,4.0697556
ENSG00000211459,0.49999002,0.99996006,Infinity,0,0,6.2575154,13.311124,3.5559697
ENSG00000228474,0.49999002,0.99996006,Infinity,0,0,63.479374,10.426908,3.103878
ENSG00000244734,0.49999002,0.99996006,Infinity,0,0,42.880898,10.854885,3.2787051
ENSG00000251562,0.49999002,0.99996006,Infinity,0,0,43.484447,10.820446,3.3558621
ENSG00000271503,0.49999002,0.99996006,Infinity,0,0,36.405743,11.133948,3.2079105
ENSG00000274012,0.49999002,0.99996006,Infinity,0,0,27.593765,11.3747635,3.3598795
ENSG00000276168,0.49999002,0.99996006,Infinity,0,0,33.652355,11.138996,3.267484
ENSG00000000003,0,0,66.88199,0.49999002,0.99996006,Infinity,-1.2382892,1.5015639
